epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6894,0,108.256,0,0,0,0,0,0,148.972,0,3e-05,3e-05,3e-05
2,21.166,0,107.136,0,0,0,0,0,0,149.071,0,6.9307e-05,6.9307e-05,6.9307e-05
3,31.7191,0,105.381,0,0,0,0,0,0,148.94,0,0.000107822,0.000107822,0.000107822
4,42.1905,0,103.451,0,0,0,0,0,0,148.489,0,0.000145545,0.000145545,0.000145545
5,53.1392,0,101.231,0,0,0,0,0,0,148.267,0,0.000182476,0.000182476,0.000182476
6,63.7156,0,99.7403,0,0,0,0,0,0,148.068,0,0.000218615,0.000218615,0.000218615
7,74.4131,0,98.0336,0,0,0,0,0,0,147.704,0,0.000253962,0.000253962,0.000253962
8,85.1403,0,96.0441,0,0,0,0,0,0,146.512,0,0.000288517,0.000288517,0.000288517
9,95.9829,0,94.1528,0,0,0,0,0,0,144.667,0,0.00032228,0.00032228,0.00032228
10,106.795,0,92.054,0,0,0,0,0,0,140.661,0,0.000355251,0.000355251,0.000355251
11,117.638,0,90.8419,0,0,0,0,0,0,137.686,0,0.00038743,0.00038743,0.00038743
12,128.255,0,88.6273,0,0,0,0,0,0,132.627,0,0.000418817,0.000418817,0.000418817
13,138.748,0,86.5483,0,0,0,0,0,0,126.524,0,0.000449412,0.000449412,0.000449412
14,149.511,0,85.8422,0,0,0,0,0,0,123.978,0,0.000479215,0.000479215,0.000479215
15,160.15,0,84.995,0,0,0,0,0,0,118.87,0,0.000508226,0.000508226,0.000508226
16,170.297,0,83.2965,0,0,0,0,0,0,116.83,0,0.000536445,0.000536445,0.000536445
17,180.335,0,82.669,0,0,0,0,0,0,114.121,0,0.000563872,0.000563872,0.000563872
18,191.511,0,81.3887,0,0,0,0,0,0,109.556,0,0.000590507,0.000590507,0.000590507
19,202.311,0,80.1165,0,0,0,0,0,0,164.322,0,0.00061635,0.00061635,0.00061635
20,213.04,0,79.4822,0,0,0,0,0,0,1730.28,0,0.000641401,0.000641401,0.000641401
21,223.926,0,78.81,0,0,0,0,0,0,129.786,0,0.00066566,0.00066566,0.00066566
22,234.157,0,77.8046,0,0,0,0,0,0,135.572,0,0.000689127,0.000689127,0.000689127
23,244.378,0,76.9823,0,0,0,0,0,0,225.578,0,0.000711802,0.000711802,0.000711802
24,254.708,0,76.3653,0,0,0,0,0,0,211.257,0,0.000733685,0.000733685,0.000733685
25,265.067,0,75.4581,0,0,0,0,0,0,155.791,0,0.000754776,0.000754776,0.000754776
26,275.405,0,74.7122,0,0,0,0,0,0,1012.68,0,0.0007525,0.0007525,0.0007525
27,285.245,0,73.9553,0,0,0,0,0,0,1771.45,0,0.0007426,0.0007426,0.0007426
28,296.23,0,73.1311,0,0,0,0,0,0,1524.59,0,0.0007327,0.0007327,0.0007327
29,306.695,0,72.4137,0,0,0,0,0,0,2748.52,0,0.0007228,0.0007228,0.0007228
30,316.87,0,71.6167,0,0,0,0,0,0,952.505,0,0.0007129,0.0007129,0.0007129
31,327.007,0,71.1442,0,0,0,0,0,0,193.834,0,0.000703,0.000703,0.000703
32,337.84,0,70.4795,0,0,0,0,0,0,1476.88,0,0.0006931,0.0006931,0.0006931
33,347.84,0,69.63,0,0,0,0,0,0,723.566,0,0.0006832,0.0006832,0.0006832
34,357.999,0,68.9545,0,0,0,0,0,0,169.254,0,0.0006733,0.0006733,0.0006733
35,367.918,0,68.5731,0,0,0,0,0,0,93.1507,0,0.0006634,0.0006634,0.0006634
36,377.819,0,67.7808,0,0,0,0,0,0,133.908,0,0.0006535,0.0006535,0.0006535
37,387.851,0,67.2716,0,0,0,0,0,0,92.2169,0,0.0006436,0.0006436,0.0006436
38,397.804,0,66.5072,0,0,0,0,0,0,91.3078,0,0.0006337,0.0006337,0.0006337
39,407.855,0,65.9287,0,0,0,0,0,0,90.9866,0,0.0006238,0.0006238,0.0006238
40,419.414,0,65.3318,0,0,0,0,0,0,90.7583,0,0.0006139,0.0006139,0.0006139
41,430.369,0,64.7329,0,0,0,0,0,0,90.2378,0,0.000604,0.000604,0.000604
42,440.764,0,64.1142,0,0,0,0,0,0,90.3291,0,0.0005941,0.0005941,0.0005941
43,451.502,0,63.4899,0,0,0,0,0,0,90.3188,0,0.0005842,0.0005842,0.0005842
44,462.25,0,62.8947,0,0,0,0,0,0,90.0303,0,0.0005743,0.0005743,0.0005743
45,472.419,0,62.3829,0,0,0,0,0,0,89.6947,0,0.0005644,0.0005644,0.0005644
46,483.475,0,61.816,0,0,0,0,0,0,89.5819,0,0.0005545,0.0005545,0.0005545
47,493.955,0,61.2762,0,0,0,0,0,0,89.2251,0,0.0005446,0.0005446,0.0005446
48,504.82,0,60.7401,0,0,0,0,0,0,88.0631,0,0.0005347,0.0005347,0.0005347
49,515.343,0,60.2252,0,0,0,0,0,0,87.3959,0,0.0005248,0.0005248,0.0005248
50,525.995,0,59.7044,0,0,0,0,0,0,86.8833,0,0.0005149,0.0005149,0.0005149
51,536.575,0,59.2099,0,0,0,0,0,0,87.0788,0,0.000505,0.000505,0.000505
52,547.827,0,58.7559,0,0,0,0,0,0,85.2702,0,0.0004951,0.0004951,0.0004951
53,558.459,0,58.3182,0,0,0,0,0,0,84.8117,0,0.0004852,0.0004852,0.0004852
54,569.039,0,57.8189,0,0,0,0,0,0,84.5553,0,0.0004753,0.0004753,0.0004753
55,579.999,0,57.5246,0,0,0,0,0,0,84.4125,0,0.0004654,0.0004654,0.0004654
56,591.022,0,57.1268,0,0,0,0,0,0,84.5498,0,0.0004555,0.0004555,0.0004555
57,602.212,0,56.6389,0,0,0,0,0,0,84.4512,0,0.0004456,0.0004456,0.0004456
58,612.952,0,56.2568,0,0,0,0,0,0,84.12,0,0.0004357,0.0004357,0.0004357
59,623.482,0,55.8045,0,0,0,0,0,0,83.7921,0,0.0004258,0.0004258,0.0004258
60,634.107,0,55.3165,0,0,0,0,0,0,126.865,0,0.0004159,0.0004159,0.0004159
61,644.626,0,55.0865,0,0,0,0,0,0,145.208,0,0.000406,0.000406,0.000406
62,655.167,0,54.6073,0,0,0,0,0,0,154.272,0,0.0003961,0.0003961,0.0003961
63,665.516,0,54.2714,0,0,0,0,0,0,126.458,0,0.0003862,0.0003862,0.0003862
64,675.805,0,53.9182,0,0,0,0,0,0,121.862,0,0.0003763,0.0003763,0.0003763
65,686.185,0,53.6044,0,0,0,0,0,0,132.035,0,0.0003664,0.0003664,0.0003664
66,696.927,0,53.2805,0,0,0,0,0,0,241.268,0,0.0003565,0.0003565,0.0003565
67,707.34,0,52.9097,0,0,0,0,0,0,366.293,0,0.0003466,0.0003466,0.0003466
68,717.75,0,52.5934,0,0,0,0,0,0,531.382,0,0.0003367,0.0003367,0.0003367
69,728.17,0,52.3591,0,0,0,0,0,0,615.172,0,0.0003268,0.0003268,0.0003268
70,738.608,0,52.0605,0,0,0,0,0,0,562.735,0,0.0003169,0.0003169,0.0003169
71,749,0,51.7842,0,0,0,0,0,0,484.381,0,0.000307,0.000307,0.000307
72,759.398,0,51.5196,0,0,0,0,0,0,365.921,0,0.0002971,0.0002971,0.0002971
73,769.749,0,51.2088,0,0,0,0,0,0,326.419,0,0.0002872,0.0002872,0.0002872
74,780.087,0,50.9568,0,0,0,0,0,0,279.966,0,0.0002773,0.0002773,0.0002773
75,790.642,0,50.7385,0,0,0,0,0,0,220.682,0,0.0002674,0.0002674,0.0002674
76,801.011,0,50.4742,0,0,0,0,0,0,142.788,0,0.0002575,0.0002575,0.0002575
77,811.266,0,50.2652,0,0,0,0,0,0,108.374,0,0.0002476,0.0002476,0.0002476
78,821.765,0,49.9874,0,0,0,0,0,0,83.6668,0,0.0002377,0.0002377,0.0002377
79,831.974,0,49.8273,0,0,0,0,0,0,80.9663,0,0.0002278,0.0002278,0.0002278
80,842.15,0,49.606,0,0,0,0,0,0,79.1048,0,0.0002179,0.0002179,0.0002179
81,852.292,0,49.4315,0,0,0,0,0,0,73.7759,0,0.000208,0.000208,0.000208
82,862.387,0,49.2167,0,0,0,0,0,0,72.7249,0,0.0001981,0.0001981,0.0001981
83,872.763,0,49.0288,0,0,0,0,0,0,73.0266,0,0.0001882,0.0001882,0.0001882
84,883.261,0,48.8444,0,0,0,0,0,0,82.346,0,0.0001783,0.0001783,0.0001783
85,893.627,0,48.7988,0,0,0,0,0,0,105.064,0,0.0001684,0.0001684,0.0001684
86,904.36,0,48.553,0,0,0,0,0,0,115.037,0,0.0001585,0.0001585,0.0001585
87,914.331,0,48.4254,0,0,0,0,0,0,109.926,0,0.0001486,0.0001486,0.0001486
88,924.165,0,48.2695,0,0,0,0,0,0,106.627,0,0.0001387,0.0001387,0.0001387
89,934.017,0,48.1609,0,0,0,0,0,0,101.997,0,0.0001288,0.0001288,0.0001288
90,943.853,0,48.046,0,0,0,0,0,0,99.7419,0,0.0001189,0.0001189,0.0001189
91,953.708,0,48.049,0,0,0,0,0,0,78.8198,0,0.000109,0.000109,0.000109
92,963.586,0,47.8808,0,0,0,0,0,0,70.5166,0,9.91e-05,9.91e-05,9.91e-05
93,973.836,0,47.7759,0,0,0,0,0,0,70.2409,0,8.92e-05,8.92e-05,8.92e-05
94,984.464,0,47.7731,0,0,0,0,0,0,70.1401,0,7.93e-05,7.93e-05,7.93e-05
95,994.243,0,47.6374,0,0,0,0,0,0,70.0121,0,6.94e-05,6.94e-05,6.94e-05
96,1004,0,47.654,0,0,0,0,0,0,69.965,0,5.95e-05,5.95e-05,5.95e-05
97,1013.7,0,47.53,0,0,0,0,0,0,69.8673,0,4.96e-05,4.96e-05,4.96e-05
98,1023.46,0,47.4504,0,0,0,0,0,0,69.7173,0,3.97e-05,3.97e-05,3.97e-05
99,1033.26,0,47.4341,0,0,0,0,0,0,69.6767,0,2.98e-05,2.98e-05,2.98e-05
100,1043.03,0,47.429,0,0,0,0,0,0,69.6378,0,1.99e-05,1.99e-05,1.99e-05
