epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.5406,0,108.256,0,0,0,0,0,0,148.972,0,3e-05,3e-05,3e-05
2,22.029,0,107.133,0,0,0,0,0,0,149.07,0,6.97228e-05,6.97228e-05,6.97228e-05
3,32.9729,0,105.368,0,0,0,0,0,0,148.933,0,0.000109129,0.000109129,0.000109129
4,43.7689,0,103.418,0,0,0,0,0,0,148.47,0,0.000148218,0.000148218,0.000148218
5,54.2939,0,101.165,0,0,0,0,0,0,148.241,0,0.00018699,0.00018699,0.00018699
6,64.8791,0,99.6422,0,0,0,0,0,0,148.035,0,0.000225446,0.000225446,0.000225446
7,75.5508,0,97.8904,0,0,0,0,0,0,147.568,0,0.000263585,0.000263585,0.000263585
8,86.0648,0,95.8555,0,0,0,0,0,0,146.342,0,0.000301407,0.000301407,0.000301407
9,97.0111,0,93.9029,0,0,0,0,0,0,144.375,0,0.000338912,0.000338912,0.000338912
10,107.663,0,92.1587,0,0,0,0,0,0,140.68,0,0.0003761,0.0003761,0.0003761
11,118.351,0,89.705,0,0,0,0,0,0,136.892,0,0.000412972,0.000412972,0.000412972
12,129.213,0,87.592,0,0,0,0,0,0,131.702,0,0.000449527,0.000449527,0.000449527
13,140.322,0,85.865,0,0,0,0,0,0,124.555,0,0.000485765,0.000485765,0.000485765
14,151.041,0,84.4749,0,0,0,0,0,0,120.856,0,0.000521686,0.000521686,0.000521686
15,161.694,0,83.7644,0,0,0,0,0,0,148.484,0,0.00055729,0.00055729,0.00055729
16,172.246,0,82.8054,0,0,0,0,0,0,122.529,0,0.000592578,0.000592578,0.000592578
17,182.907,0,81.7486,0,0,0,0,0,0,112.783,0,0.000627549,0.000627549,0.000627549
18,193.559,0,80.6445,0,0,0,0,0,0,111.767,0,0.000662203,0.000662203,0.000662203
19,204.332,0,79.4476,0,0,0,0,0,0,110.1,0,0.00069654,0.00069654,0.00069654
20,215.175,0,78.2937,0,0,0,0,0,0,107.725,0,0.00073056,0.00073056,0.00073056
21,225.855,0,77.2333,0,0,0,0,0,0,102.134,0,0.000764264,0.000764264,0.000764264
22,236.53,0,76.309,0,0,0,0,0,0,99.2038,0,0.000797651,0.000797651,0.000797651
23,247.127,0,75.3917,0,0,0,0,0,0,95.6415,0,0.000830721,0.000830721,0.000830721
24,257.715,0,74.5166,0,0,0,0,0,0,92.7465,0,0.000863474,0.000863474,0.000863474
25,268.399,0,73.5819,0,0,0,0,0,0,91.7806,0,0.00089591,0.00089591,0.00089591
26,279.273,0,72.5763,0,0,0,0,0,0,91.5636,0,0.000901,0.000901,0.000901
27,289.967,0,71.6767,0,0,0,0,0,0,91.7666,0,0.00089704,0.00089704,0.00089704
28,300.692,0,70.713,0,0,0,0,0,0,90.7117,0,0.00089308,0.00089308,0.00089308
29,311.345,0,69.817,0,0,0,0,0,0,89.7431,0,0.00088912,0.00088912,0.00088912
30,322.192,0,68.901,0,0,0,0,0,0,86.5578,0,0.00088516,0.00088516,0.00088516
31,332.912,0,67.9498,0,0,0,0,0,0,84.1913,0,0.0008812,0.0008812,0.0008812
32,343.78,0,67.2194,0,0,0,0,0,0,83.1058,0,0.00087724,0.00087724,0.00087724
33,354.625,0,66.267,0,0,0,0,0,0,84.1721,0,0.00087328,0.00087328,0.00087328
34,365.502,0,65.4564,0,0,0,0,0,0,83.9309,0,0.00086932,0.00086932,0.00086932
35,376.683,0,64.521,0,0,0,0,0,0,83.1186,0,0.00086536,0.00086536,0.00086536
36,387.678,0,63.737,0,0,0,0,0,0,82.3937,0,0.0008614,0.0008614,0.0008614
37,398.593,0,62.7985,0,0,0,0,0,0,83.0359,0,0.00085744,0.00085744,0.00085744
38,409.288,0,61.9984,0,0,0,0,0,0,83.3788,0,0.00085348,0.00085348,0.00085348
39,420.05,0,61.2311,0,0,0,0,0,0,83.6269,0,0.00084952,0.00084952,0.00084952
40,430.802,0,60.2865,0,0,0,0,0,0,83.3875,0,0.00084556,0.00084556,0.00084556
41,441.533,0,59.4616,0,0,0,0,0,0,82.85,0,0.0008416,0.0008416,0.0008416
42,452.325,0,58.724,0,0,0,0,0,0,81.6268,0,0.00083764,0.00083764,0.00083764
43,463.052,0,57.8719,0,0,0,0,0,0,80.3094,0,0.00083368,0.00083368,0.00083368
44,473.686,0,57.0713,0,0,0,0,0,0,80.1947,0,0.00082972,0.00082972,0.00082972
45,484.316,0,56.5218,0,0,0,0,0,0,330.481,0,0.00082576,0.00082576,0.00082576
46,494.891,0,55.6446,0,0,0,0,0,0,78.9772,0,0.0008218,0.0008218,0.0008218
47,505.563,0,54.9555,0,0,0,0,0,0,109.958,0,0.00081784,0.00081784,0.00081784
48,516.422,0,54.2333,0,0,0,0,0,0,152.613,0,0.00081388,0.00081388,0.00081388
49,527.323,0,53.497,0,0,0,0,0,0,124.083,0,0.00080992,0.00080992,0.00080992
50,537.939,0,52.7752,0,0,0,0,0,0,81.353,0,0.00080596,0.00080596,0.00080596
51,548.486,0,52.1609,0,0,0,0,0,0,74.9953,0,0.000802,0.000802,0.000802
52,558.949,0,51.3462,0,0,0,0,0,0,78.8426,0,0.00079804,0.00079804,0.00079804
53,569.396,0,50.6916,0,0,0,0,0,0,113.836,0,0.00079408,0.00079408,0.00079408
54,579.93,0,50.0053,0,0,0,0,0,0,84.0297,0,0.00079012,0.00079012,0.00079012
55,590.37,0,49.3074,0,0,0,0,0,0,71.5621,0,0.00078616,0.00078616,0.00078616
56,600.795,0,48.544,0,0,0,0,0,0,71.0714,0,0.0007822,0.0007822,0.0007822
57,611.249,0,47.8599,0,0,0,0,0,0,70.5123,0,0.00077824,0.00077824,0.00077824
58,621.775,0,47.1462,0,0,0,0,0,0,69.9091,0,0.00077428,0.00077428,0.00077428
59,632.32,0,46.5322,0,0,0,0,0,0,68.9338,0,0.00077032,0.00077032,0.00077032
60,642.877,0,45.8448,0,0,0,0,0,0,67.7319,0,0.00076636,0.00076636,0.00076636
61,653.399,0,45.1642,0,0,0,0,0,0,66.4569,0,0.0007624,0.0007624,0.0007624
62,663.876,0,44.5213,0,0,0,0,0,0,65.3486,0,0.00075844,0.00075844,0.00075844
63,674.315,0,43.8717,0,0,0,0,0,0,64.5156,0,0.00075448,0.00075448,0.00075448
64,684.721,0,43.2592,0,0,0,0,0,0,63.5568,0,0.00075052,0.00075052,0.00075052
65,695.371,0,42.6121,0,0,0,0,0,0,62.4351,0,0.00074656,0.00074656,0.00074656
66,705.806,0,42.0201,0,0,0,0,0,0,61.6061,0,0.0007426,0.0007426,0.0007426
67,716.241,0,41.4107,0,0,0,0,0,0,60.7479,0,0.00073864,0.00073864,0.00073864
68,726.617,0,40.8108,0,0,0,0,0,0,59.7792,0,0.00073468,0.00073468,0.00073468
69,737.096,0,40.2351,0,0,0,0,0,0,58.7112,0,0.00073072,0.00073072,0.00073072
70,747.491,0,39.6606,0,0,0,0,0,0,57.3516,0,0.00072676,0.00072676,0.00072676
71,758.065,0,39.0788,0,0,0,0,0,0,56.0471,0,0.0007228,0.0007228,0.0007228
72,768.418,0,38.5261,0,0,0,0,0,0,55.4047,0,0.00071884,0.00071884,0.00071884
73,779.02,0,37.9598,0,0,0,0,0,0,55.2259,0,0.00071488,0.00071488,0.00071488
74,789.456,0,37.4327,0,0,0,0,0,0,55.1507,0,0.00071092,0.00071092,0.00071092
75,799.984,0,36.8965,0,0,0,0,0,0,54.7809,0,0.00070696,0.00070696,0.00070696
